Torch: 2.8.0+cu128 | CUDA: 12.8 | GPU? True | Name: Tesla V100-PCIE-32GB
bitsandbytes import error: No module named 'bitsandbytes.cuda_setup'
Testing NECOUDBFM/Jellyfish-8B on wdc_20cc...
Running zero-shot for: wdc_20cc/wdc_automotive_test.txt
[wdc_automotive_test.txt 1/19] last answer: 'No'
[wdc_automotive_test.txt 2/19] last answer: 'No'
[wdc_automotive_test.txt 3/19] last answer: 'No'
[wdc_automotive_test.txt 4/19] last answer: 'No'
[wdc_automotive_test.txt 5/19] last answer: 'Yes'
[wdc_automotive_test.txt 6/19] last answer: 'Yes'
[wdc_automotive_test.txt 7/19] last answer: 'No'
[wdc_automotive_test.txt 8/19] last answer: 'No'
[wdc_automotive_test.txt 9/19] last answer: 'No'
[wdc_automotive_test.txt 10/19] last answer: 'No'
[wdc_automotive_test.txt 11/19] last answer: 'No'
[wdc_automotive_test.txt 12/19] last answer: 'No'
[wdc_automotive_test.txt 13/19] last answer: 'No'
[wdc_automotive_test.txt 14/19] last answer: 'No'
[wdc_automotive_test.txt 15/19] last answer: 'No'
[wdc_automotive_test.txt 16/19] last answer: 'No'
[wdc_automotive_test.txt 17/19] last answer: 'No'
[wdc_automotive_test.txt 18/19] last answer: 'No'
[wdc_automotive_test.txt 19/19] last answer: 'Yes'

Domain: wdc_automotive | Backend: hf | Model: NECOUDBFM/Jellyfish-8B | Pairs: 19 | F1+: 0.8571
Running zero-shot for: wdc_20cc/wdc_camera_and_photo_test.txt
[wdc_camera_and_photo_test.txt 1/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 2/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 3/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 4/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 5/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 6/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 7/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 8/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 9/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 10/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 11/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 12/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 13/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 14/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 15/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 16/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 17/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 18/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 19/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 20/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 21/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 22/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 23/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 24/199] last answer: 'No'
